Exiobase - Region,Exiobase - Category
AFG,Paddy rice
AFG,Wheat
AFG,Cereal grains nec
AFG,"Vegetables, fruit, nuts"
AFG,Oil seeds
AFG,"Sugar cane, sugar beet"
AFG,Plant-based fibers
AFG,Crops nec
AFG,Cattle
AFG,Pigs
AFG,Poultry
AFG,Meat animals nec
AFG,Animal products nec
AFG,Raw milk
AFG,"Wool, silk-worm cocoons"
AFG,Manure (conventional treatment)
AFG,Manure (biogas treatment)
AFG,"Products of forestry, logging and related services (02)"
AFG,Fish and other fishing products; services incidental of fishing (05)
AFG,Anthracite
AFG,Coking Coal
AFG,Other Bituminous Coal
AFG,Sub-Bituminous Coal
AFG,Patent Fuel
AFG,Lignite/Brown Coal
AFG,BKB/Peat Briquettes
AFG,Peat
AFG,"Crude petroleum and services related to crude oil extraction, excluding surveying"
AFG,"Natural gas and services related to natural gas extraction, excluding surveying"
AFG,Natural Gas Liquids
AFG,Other Hydrocarbons
AFG,Uranium and thorium ores (12)
AFG,Iron ores
AFG,Copper ores and concentrates
AFG,Nickel ores and concentrates
AFG,Aluminium ores and concentrates
AFG,Precious metal ores and concentrates
AFG,"Lead, zinc and tin ores and concentrates"
AFG,Other non-ferrous metal ores and concentrates
AFG,Stone
AFG,Sand and clay
AFG,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
AFG,Products of meat cattle
AFG,Products of meat pigs
AFG,Products of meat poultry
AFG,Meat products nec
AFG,products of Vegetable oils and fats
AFG,Dairy products
AFG,Processed rice
AFG,Sugar
AFG,Food products nec
AFG,Beverages
AFG,Fish products
AFG,Tobacco products (16)
AFG,Textiles (17)
AFG,Wearing apparel; furs (18)
AFG,Leather and leather products (19)
AFG,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
AFG,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
AFG,Pulp
AFG,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
AFG,Paper and paper products
AFG,Printed matter and recorded media (22)
AFG,Coke Oven Coke
AFG,Gas Coke
AFG,Coal Tar
AFG,Motor Gasoline
AFG,Aviation Gasoline
AFG,Gasoline Type Jet Fuel
AFG,Kerosene Type Jet Fuel
AFG,Kerosene
AFG,Gas/Diesel Oil
AFG,Heavy Fuel Oil
AFG,Refinery Gas
AFG,Liquefied Petroleum Gases (LPG)
AFG,Refinery Feedstocks
AFG,Ethane
AFG,Naphtha
AFG,White Spirit & SBP
AFG,Lubricants
AFG,Bitumen
AFG,Paraffin Waxes
AFG,Petroleum Coke
AFG,Non-specified Petroleum Products
AFG,Nuclear fuel
AFG,"Plastics, basic"
AFG,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
AFG,N-fertiliser
